,constituency,count,candidate_id,candidate,incumbent,party,votes,status,seats,quota,tvp,spoilt,turnout,electorate
,Baile an Teampaill,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,denman rooke,Denman Rooke,FALSE,PBPS,2,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,michael ryan,Michael Ryan,FALSE,IND,1,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,noel thomas,Noel Thomas,FALSE,INDIRL,101,running,1,22607,503,0,503,1090
,Baile an Teampaill,1,thomas welby,Thomas Welby,FALSE,IND,11,running,1,22607,503,0,503,1090
TRUE,Baile Chláir,1,neill bairead,Néill Bairéad,FALSE,IND,0,running,1,22607,919,0,919,2086
,Baile Chláir,1,aj cahill,A.J. Cahill,FALSE,IPP,13,running,1,22607,919,0,919,2086
,Baile Chláir,1,mike cubbard,Mike Cubbard,FALSE,IND,62,running,1,22607,919,0,919,2086
,Baile Chláir,1,patrick feeney,Patrick Feeney,FALSE,IND,0,running,1,22607,919,0,919,2086
,Baile Chláir,1,sheila garrity,Sheila Garrity,FALSE,IND,14,running,1,22607,919,0,919,2086
,Baile Chláir,1,cillian keane,Cillian Keane,FALSE,FF,138,running,1,22607,919,0,919,2086
,Baile Chláir,1,sean kyne,Seán Kyne,FALSE,FG,178,running,1,22607,919,0,919,2086
,Baile Chláir,1,mark lohan,Mark Lohan,FALSE,SF,79,running,1,22607,919,0,919,2086
,Baile Chláir,1,niall murphy,Niall Murphy,FALSE,GP,22,running,1,22607,919,0,919,2086
,Baile Chláir,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,42,running,1,22607,919,0,919,2086
,Baile Chláir,1,orla nugent,Orla Nugent,FALSE,AON,35,running,1,22607,919,0,919,2086
,Baile Chláir,1,helen ogbu,Helen Ogbu,FALSE,LAB,95,running,1,22607,919,0,919,2086
,Baile Chláir,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,919,0,919,2086
,Baile Chláir,1,denman rooke,Denman Rooke,FALSE,PBPS,3,running,1,22607,919,0,919,2086
,Baile Chláir,1,michael ryan,Michael Ryan,FALSE,IND,2,running,1,22607,919,0,919,2086
,Baile Chláir,1,noel thomas,Noel Thomas,FALSE,INDIRL,207,running,1,22607,919,0,919,2086
,Baile Chláir,1,thomas welby,Thomas Welby,FALSE,IND,29,running,1,22607,919,0,919,2086
TRUE,Ballybaan,1,neill bairead,Néill Bairéad,FALSE,IND,6,running,1,22607,1251,0,1251,3988
,Ballybaan,1,aj cahill,A.J. Cahill,FALSE,IPP,36,running,1,22607,1251,0,1251,3988
,Ballybaan,1,mike cubbard,Mike Cubbard,FALSE,IND,147,running,1,22607,1251,0,1251,3988
,Ballybaan,1,patrick feeney,Patrick Feeney,FALSE,IND,1,running,1,22607,1251,0,1251,3988
,Ballybaan,1,sheila garrity,Sheila Garrity,FALSE,IND,32,running,1,22607,1251,0,1251,3988
,Ballybaan,1,cillian keane,Cillian Keane,FALSE,FF,89,running,1,22607,1251,0,1251,3988
,Ballybaan,1,sean kyne,Seán Kyne,FALSE,FG,151,running,1,22607,1251,0,1251,3988
,Ballybaan,1,mark lohan,Mark Lohan,FALSE,SF,142,running,1,22607,1251,0,1251,3988
,Ballybaan,1,niall murphy,Niall Murphy,FALSE,GP,25,running,1,22607,1251,0,1251,3988
,Ballybaan,1,mide nic fhionnlaoich,Míde Nic Fhionnlaoich,FALSE,SD,79,running,1,22607,1251,0,1251,3988
,Ballybaan,1,orla nugent,Orla Nugent,FALSE,AON,47,running,1,22607,1251,0,1251,3988
,Ballybaan,1,helen ogbu,Helen Ogbu,FALSE,LAB,267,running,1,22607,1251,0,1251,3988
,Ballybaan,1,john oleary,John O'Leary,FALSE,IND,0,running,1,22607,1251,0,1251,3988
,Ballybaan,1,denman rooke,Denman Rooke,FALSE,PBPS,30,running,1,22607,1251,0,1251,3988
,Ballybaan,1,michael ryan,Michael Ryan,FALSE,IND,2,running,1,22607,1251,0,1251,3988
,Ballybaan,1,noel thomas,Noel Thomas,FALSE,INDIRL,163,running,1,22607,1251,0,1251,3988
,Ballybaan,1,thomas welby,Thomas Welby,FALSE,IND,34,running,1,22607,1251,0,1251,3988
