year,constituency,party,votes,seats
2024,Oranmore,LP,56,
2024,Oranmore,SD,86,
2024,Oranmore,PBPS,28,
2024,Oranmore,AON,53,
2024,Oranmore,INDIRL,41,
2024,Oranmore,IPP,7,
2024,Oranmore,IFP,5,
2024,Oranmore,IND,605,
2024,Oughterard,FF,73,
2024,Oughterard,FG,159,
2024,Oughterard,SF,113,
2024,Oughterard,GP,27,
,,,,
2024,Oughterard,LP,18,
2024,Oughterard,SD,42,
2024,Oughterard,PBPS,11,
2024,Oughterard,AON,12,
2024,Oughterard,INDIRL,301,
2024,Oughterard,IPP,8,
2024,Oughterard,IFP,12,
2024,Oughterard,IND,246,
2024,Rahoon,FF,261,
2024,Rahoon,FG,313,
2024,Rahoon,SF,216,
2024,Rahoon,GP,87,
,,,,
2024,Rahoon,LP,53,
2024,Rahoon,SD,87,
2024,Rahoon,PBPS,22,
2024,Rahoon,AON,39,
2024,Rahoon,INDIRL,68,
2024,Rahoon,IPP,16,
2024,Rahoon,IFP,14,
2024,Rahoon,IND,456,
2024,Renmore,FF,113,
2024,Renmore,FG,62,
2024,Renmore,SF,177,
2024,Renmore,GP,12,
,,,,
2024,Renmore,LP,32,
2024,Renmore,SD,27,
2024,Renmore,PBPS,3,
2024,Renmore,AON,9,
2024,Renmore,INDIRL,45,
2024,Renmore,IPP,4,
2024,Renmore,IFP,4,
2024,Renmore,IND,136,
2024,Rinvyle,FF,115,
2024,Rinvyle,FG,59,
2024,Rinvyle,SF,175,
2024,Rinvyle,GP,8,
,,,,
2024,Rinvyle,LP,4,
2024,Rinvyle,SD,5,
2024,Rinvyle,PBPS,2,
2024,Rinvyle,AON,5,
2024,Rinvyle,INDIRL,59,
2024,Rinvyle,IPP,4,
2024,Rinvyle,IFP,4,
2024,Rinvyle,IND,69,
2024,Rockbarton,FF,322,
2024,Rockbarton,FG,481,
2024,Rockbarton,SF,52,
2024,Rockbarton,GP,101,
,,,,
2024,Rockbarton,LP,36,
2024,Rockbarton,SD,52,
2024,Rockbarton,PBPS,23,
2024,Rockbarton,AON,27,
2024,Rockbarton,INDIRL,32,
2024,Rockbarton,IPP,22,
2024,Rockbarton,IFP,1,
2024,Rockbarton,IND,264,
2024,Sailearna,FF,186,
2024,Sailearna,FG,214,
2024,Sailearna,SF,200,
2024,Sailearna,GP,29,
,,,,
2024,Sailearna,LP,38,
2024,Sailearna,SD,42,
2024,Sailearna,PBPS,19,
2024,Sailearna,AON,19,
2024,Sailearna,INDIRL,352,
2024,Sailearna,IPP,5,
2024,Sailearna,IFP,12,
2024,Sailearna,IND,227,
2024,Salthill,FF,479,
2024,Salthill,FG,503,
2024,Salthill,SF,227,
2024,Salthill,GP,153,
,,,,
2024,Salthill,LP,112,
2024,Salthill,SD,91,
2024,Salthill,PBPS,43,
2024,Salthill,AON,45,
2024,Salthill,INDIRL,56,
2024,Salthill,IPP,29,
2024,Salthill,IFP,12,
2024,Salthill,IND,532,
2024,Scainimh,FF,117,
2024,Scainimh,FG,39,
2024,Scainimh,SF,103,
2024,Scainimh,GP,18,
,,,,
2024,Scainimh,LP,1,
2024,Scainimh,SD,1,
2024,Scainimh,PBPS,0,
2024,Scainimh,AON,2,
