date,commissioner,pollster,sample,moe,FF,FG,SF,SD,LAB,AON,INDIRL,GP,PBPS,REN,IA,PD,IND
15 May 2018,The Sunday Times,Behaviour and Attitudes,935,,23,30,24,1,4,,,2,2,,3,,10
30 April 2018,The Sunday Independent,Milward Brown,"1,003",,27,34,22,,5,,,3,1,,5,,2
26 April 2018,The Business Post,Red C,"1,000",,25,32,14,2,6,,,2,2,1,2,,13
18 April 2018,Irish Daily Mail,Ireland Thinks,,,26,29,16,3,5,,,4,4,,,,13
17 April 2018,The Sunday Times,Behaviour and Attitudes,928,,25,33,21,1,6,,,2,1,1,2,,10
17 April 2018,The Irish Times,Ipsos MRBI,"1,200",,26,31,22,1,5,,,3,2,,1,,9
22 March 2018,The Business Post,Red C,"1,000",,24,33,16,2,6,,,2,2,2,1,,12
13 March 2018,The Sunday Times,Behaviour and Attitudes,900,,27,32,19,1,6,,,2,2,,3,,10
22 February 2018,The Business Post,Red C,"1,000",,29,32,14,2,6,,,2,1,1,3,,10
14 February 2018,The Sunday Independent,Milward Brown,970,,28,36,20,1,4,,,2,1,,3,,11
13 February 2018,The Sunday Times,Behaviour and Attitudes,926,,25,36,16,1,5,,,1,3,,4,,9
25 January 2018,The Business Post,Red C,"1,003",,26,32,15,2,6,,,4,3,0,3,,9
23 January 2018,The Irish Times,Ipsos MRBI,"1,200",,25,34,19,1,4,,,3,2,,1,,11
16 January 2018,The Sunday Times,Behaviour and Attitudes,920,,26,32,18,1,6,,,2,2,,4,,9
24 December 2017,The Sunday Times,Behaviour and Attitudes,913,,26,34,17,2,5,,,2,2,,4,,8
22 December 2017,Irish Daily Mail,Ireland Thinks,"1,144",,26,33,16,2,6,,,2,3,,,,12
7 December 2017,The Irish Times,Ipsos MRBI,"1,200",,25,36,19,1,4,,,3,1,,1,,10
23 November 2017,The Business Post,Red C,"1,004",,26,27,16,3,6,,,4,3,1,4,,10
7 November 2017,The Sunday Times,Behaviour and Attitudes,919,,31,34,14,1,3,,,2,3,0,3,,8
20 October 2017,The Business Post,Red C,"1,004",,25,29,14,2,6,,,4,4,0,4,,12
10 October 2017,The Sunday Times,Behaviour and Attitudes,915,,27,31,19,1,4,,,2,1,0,3,,12
2 October 2017,The Irish Times,Ipsos MRBI,"1,200",,29,31,19,2,4,,,3,2,0,1,,9
22 September 2017,The Business Post,Red C,"1,004",,26,30,16,4,5,,,2,4,1,2,,10
12 September 2017,The Sunday Times,Behaviour and Attitudes,937,,25,33,19,1,5,,,2,1,0,4,,10
21 July 2017,The Sunday Independent,Milward Brown,956,,29,30,20,0,7,,,2,1,,5,,7
11 July 2017,The Sunday Times,Behaviour and Attitudes,923,,30,29,18,1,5,,,2,2,0,4,,9
5 July 2017,The Business Post,Red C,"1,000",,24,27,18,2,6,,,4,4,3,4,,8
10 June 2017,The Sunday Times,Behaviour and Attitudes,"1,004",,29,29,18,1,5,,,3,1,1,5,,9
25 May 2017,The Business Post,Red C,"1,004",,21,29,15,4,6,,,3,3,1,3,,15
13 May 2017,The Sunday Times,Behaviour and Attitudes,945,,27,28,18,1,4,,,2,1,1,4,,14
28 April 2017,The Business Post,Red C,"1,004",,28,24,18,4,6,,,3,4,1,2,,10
11 April 2017,The Sunday Times,Behaviour and Attitudes,937,,28,29,18,2,5,,,2,2,,,,11
24 March 2017,The Business Post,Red C,"1,004",,26,24,17,3,6,,,4,4,0,3,,13
8 March 2017,The Sunday Times,Behaviour and Attitudes,934,,28,22,23,1,6,,,2,2,0,6,,9
28 February 2017,The Irish Times,Ipsos MRBI,"1,200",,29,28,21,1,4,,,3,3,,2,,9
23 February 2017,The Business Post,Red C,"1,004",,26,24,19,3,4,,,4,6,1,3,,10
16 February 2017,The Sunday Independent,Milward Brown,960,,33,25,20,2,6,,,2,3,,5,,4
8 February 2017,The Sunday Times,Behaviour and Attitudes,955,,32,21,19,2,6,,,2,3,0,5,,10
26 January 2017,The Business Post,Red C,"1,004",,27,24,14,4,5,,,4,4,1,3,,14
21 January 2017,The Sunday Times,Behaviour and Attitudes,921,,29,23,17,1,5,,,3,5,0,3,,15
